抓取时间,抓取时刻,订单号,安,非,赔,保,农,订单标题,金额(元）,年利率,期限（月）,还款方式,每月还款金额,进度,借款状态,剩余时间,结束时间,总投标数,浏览量,借款id,借入信用等级,借入信用分数,借出信用分数,成功次数,流标次数,身份认证,视频认证,学历认证,手机认证,借款目的,性别,年龄,婚姻状况,文化程度,住宅状况,是否购车,关于我,我想要使用这笔款项做什么,我的还款能力说明
2014/03/03,13:45:27,460037,0,0,0,0,0,有借有还~累计信用！,5000,20,6,等额本息，每月还款,883,100.00,投标已结束,,2014/2/27,20,198,zhuwenxin,E,43,34,5,7,1,0,0,1,,,,,,,,本人韶关宏大爆破有限公司职员材料主任,累计信用，为自己创业铺路!,每月底薪5000元，足够还款！
2014/03/03,13:45:31,460038,0,0,0,0,0,【个人消费】因本人购买二轮摩托缺点资金,3000,22,8,等额本息，每月还款,407,0.00,,11天00时14分,,0,66,ha19630508,HR,10,10,0,0,0,0,0,0,个人消费,男,51,已婚,大专,租用,没有,用这笔资金购买摩托车,用这笔钱购买摩托车载客。,到期用工资偿还本息。
2014/03/03,13:45:37,460039,0,0,0,0,0,【个人消费】本人欲进修文凭，但是现在经济周转不及，所以希望大家能让我如愿,3000,13,7,等额本息，每月还款,448,0.00,正在预审,11天00时14分,,0,66,lxm520sxy,HR,20,20,0,1,0,1,0,0,个人消费,女,27,已婚,高中,与父母共住,是,我在一公司上班，有固定的收入，我丈夫也是工薪一族，在某大学任教师，均有固定收入，但现在资金出现短缺,现由于我想进修医学专业，但资金不足，所以特向各位借款，本人遵守规定，准时还款,我在一公司上班，有固定的收入，我丈夫也是工薪一族，在某大学任教师，均有固定收入
2014/03/03,13:45:40,460040,0,0,0,0,0,【累积信用】 累计信用分 资金周转 很快就能还,3000,13,12,等额本息，每月还款,268,0.00,正在预审,11天00时14分,,0,60,zhao123333,HR,0,0,0,0,0,0,0,0,累计信用,男,30,已婚,大专,租用,是,已婚，有私家车一台，自己承包出租车一台，收入稳定,有一投资项目，利润比较丰厚，本人以前对此也有经营有稳定客户,妻子有网店客户稳定收入平稳，本人开出租车两年经营情况良好，还款没压力
2014/03/03,13:45:43,460041,1,1,0,0,0,安非No.7 二月最后一标,3000,8,6,等额本息，每月还款,512,100.00,借款成功,,2014/2/27,9,48,leotaoma,HR,18,601,7,0,0,0,1,0,,,,,,,,安非No.7 二月最后一标,安非No.7 二月最后一标,安非No.7 二月最后一标
2014/03/03,13:45:48,460042,0,0,0,0,0,【累积信用】首次网贷，国企中层具有良好还款能力，买个平板电脑,3000,13,12,等额本息，每月还款,268,0.00,正在预审,11天00时14分,,0,84,lygxc,HR,23,20,0,0,0,0,0,1,累计信用,男,32,离婚,本科,自置无按揭,是,国企中层具有良好还款能力,买个平板电脑送给妹妹生日礼物,月入6000左右 开销3000
2014/03/03,13:45:51,460043,0,0,0,0,0,【实体经营】我打算购买福田轻卡一辆运货,3000,13,12,等额本息，每月还款,268,0.00,正在预审,11天00时16分,,0,108,LUNHUIZGQ,HR,0,0,0,0,0,0,0,0,实体经营,男,40,已婚,中专,自置无按揭,没有,我是一个会计工作者，工作2年多了，月工资3000元,购轻卡车一台运货，我工作的公司有固定货源,拉一趟运费260左右，去除油钱60元，一天可以拉三趟，前景很好
2014/03/03,13:45:55,460044,0,0,0,0,0,【实体经营】学校开店，进货用。,3000,13,12,等额本息，每月还款,268,0.00,正在预审,11天00时17分,,0,108,liuyuan199312,HR,0,0,0,0,0,0,0,0,实体经营,女,22,未婚,本科,集体宿舍,没有,我是一名大二学生，在校内准备和同学一起开一家饮品店，有属于自己的小店。,和同学一起创业开店，有存款，想多凑点钱进货。,我的月生活费2000，每月1000多可以省出来存着，假期还有打工，暑假和寒假都在打工为自己存钱开店。
2014/03/03,13:46:00,460045,0,0,0,0,0,【个人消费】打算买苹果5土豪金,3000,13,12,等额本息，每月还款,268,0.00,正在预审,11天00时15分,,0,96,mygirl19921113,HR,0,0,0,0,0,0,0,0,个人消费,男,22,未婚,本科,自置有按揭,没有,我是一名大学本科学生,打算买苹果手机钱不够,每个月生活费两千元以上
2014/03/03,13:46:04,460046,0,0,0,0,0,【累积信用】信用第一！长期发展！,3000,22,6,等额本息，每月还款,533,100.00,借款审批中,,2014/3/2,22,132,a6868580,E,32,20,0,4,1,1,0,0,,,,,,,,我是一名环卫工人！自己有房产！有稳定工作！,刷新我的信用度！长期发展下去！,自己创业的收入！工资！
2014/03/03,13:46:08,460047,0,0,0,0,0,【个人消费】进衣服货希望各位帮帮手,3000,23,12,等额本息，每月还款,283,100.00,借款审批中,,2014/2/27,20,114,longjinzhang,HR,17,10,0,1,0,0,0,0,,,,,,,,希望各位帮帮手，保证还钱准时,进衣服货，晚上找点生活费,白天打工，夜晚摆街，出来社会几年了
2014/03/03,13:46:10,460048,0,0,0,0,0,【个人消费】资金周转不过来，急需钱,3000,13,7,等额本息，每月还款,448,0.00,正在预审,11天00时17分,,0,150,qing420528,HR,10,10,0,1,0,0,0,0,个人消费,男,24,已婚,大专,与父母共住,没有,本人已婚，已有小孩子。,去年的工资老板拖欠，今年家里要用钱，资金周转不过来。,"我是一名挖掘机司机，工资一个月4500,."
2014/03/03,13:46:13,460049,0,0,0,0,0,【累积信用】暂借此钱来扩大网店经营备些货以便于发展,3000,13,12,等额本息，每月还款,268,0.00,正在预审,11天00时19分,,0,78,yesai324518,HR,0,0,0,0,0,0,0,0,累计信用,男,26,未婚,大专,与父母共住,没有,本人三家网店外加公司销售经理,来扩大网店经营发展网络,在借款期限内没问题的
2014/03/03,13:46:16,460050,0,0,0,0,0,【实体经营】客栈资金周转紧张,3000,13,7,等额本息，每月还款,448,0.00,正在预审,11天00时18分,,0,66,zjghost,HR,0,0,0,0,0,0,0,0,实体经营,女,31,未婚,大专,商住两用,没有,你好，我是一个在丽江开客栈的女孩子，最近资金周转比较紧张。,第一次借贷，最主要五月份要重新装修，所以想了解一下这个贷款能否帮助到我。,到五月份止，我还能经营两个月，客栈17间房，按照淡季来说，也是很容易还清的。
2014/03/03,13:46:20,460051,0,0,0,0,0,"【其他】购买三轮车电瓶,",3000,13,7,等额本息，每月还款,448,0.00,正在预审,11天00时19分,,0,60,cfdx008,HR,0,0,0,0,0,0,0,0,其他,男,34,离婚,本科,自置有按揭,没有,"因为家里做生意失败欠款,所以做这一服务行业,以便于快速还款,虽然现在家里有外借款,但做这项工作虽然辛苦,累一点但收入较好,请借款方相信我,谢谢","我使用本笔款项计划再购买两套电瓶,因为现有两套工作时间有限,四套电瓶能延长工作 时间,赚更多的钱","我的还款能力是每天有稳定的收入,工作时间长一点,每天能赚二百元,这样呢除了还一些外债,能保证将您的钱也及时的还上"
2014/03/03,13:46:24,460052,0,0,0,0,0,【实体经营】资金周转网带体验,3000,13,12,等额本息，每月还款,268,0.00,正在预审,11天00时18分,,0,126,wfzczxg,HR,10,10,0,0,0,0,0,0,实体经营,男,31,已婚,中专,与父母共住,没有,我是鑫诚购物广场a4-212的业主,主要是体验一下网络贷款,少喝几次酒少抽几盒烟还款不是问题
2014/03/03,13:46:30,460053,0,0,1,0,0,【实体经营】二次借款，还款快，实体经营有保证,4600,13,3,等额本息，每月还款,1567,100.00,借款成功,,2014/2/27,23,54,elle0312,HR,18,10,2,0,0,0,0,0,,,,,,,,实体经营机票，出票收款，还款快，二次借款，资金有保证,实体经营，资金周转，需要钱少，但是关健时刻，作用很大,有实体店，固定经营，资金周转，诚信还款
2014/03/03,13:46:34,460054,0,0,0,0,0,【其他】承包工程的流动资金,3000,13,7,等额本息，每月还款,448,0.00,正在预审,11天00时18分,,0,216,huxiwei11223,HR,0,0,0,0,0,0,0,0,其他,男,32,已婚,高中,自置无按揭,没有,我是 承包 家庭装潢和 小型公司装潢的,承包工程有的时候资金周转困难,每个工程结束就 可以还款。一般在 3个月左右
2014/03/03,13:46:37,460055,0,0,1,0,0,【个人消费】今天有急用啊，麻烦各位了，我信誉很好的，都会及时还款的,5000,13,6,等额本息，每月还款,866,100.00,投标已结束,,2014/2/27,25,252,hanfeng88,HR,25,10,1,1,1,0,0,0,,,,,,,,本人有稳定工作收入，信誉很重要,这笔钱用来买笔记本电脑,我一定有实力来按时还款
2014/03/03,13:46:39,460056,0,0,0,0,0,第八笔借款，体验一下网购达人标，累积信用额度,5600,18,4,等额本息，每月还款,1453,100.00,借款审批中,,2014/2/27,6,72,helei049,D,53,57,7,0,1,0,1,1,,,,,,,,第八次借款，按时还款，零逾期，继续保持下去。,个人临时周转，顺便增加信用积分，提升额度,收入稳定，加每月业绩提成，偶尔有额外小收入
2014/03/03,13:46:46,460057,0,0,0,0,0,【实体经营】采购生产材料，扩大生产规模,3000,13,7,等额本息，每月还款,448,0.00,正在预审,11天00时20分,,0,180,1WJ,HR,0,0,0,0,0,0,0,0,实体经营,男,36,离婚,本科,与父母共住,没有,我已步入而立之年，为了以后更好的生活，在2012年，响应政府号召，采取土地流转的方式，在农村承包了800亩土地，进行蔬菜种植项目。经过两年的努力，现在在技术上已成熟，产量获得大幅度提高，并且销路畅通。为了扩大种植规模，现在想募集更多的资金投入到项目中去。,购买药水，对田间虫患进行防治。,一，本人在承包土地附近建有一家拥有20间标准间的小型宾馆（客源主要是附近驾校学生）；二，若将来进行大额资金募集的话，可提供市区黄金地段房产担保抵押；三，蔬菜成熟期一般在4--5个月，蔬菜上市后，资金就可回笼，进行偿还。
2014/03/03,13:46:49,460058,0,0,0,0,0,【网贷体验】3000能干嘛。。。。,3000,13,12,等额本息，每月还款,268,0.00,正在预审,11天00时20分,,0,456,xiezhang,HR,10,10,0,0,0,0,0,0,网贷体验,男,35,已婚,大专,自置无按揭,是,、？？？？？？？？？,嘿嘿，不知道要干嘛!!!!!!!,现在3000能干嘛啊
2014/03/03,13:46:52,460059,0,0,0,0,0,【个人消费】暂时自己用额度大了做生意,3000,13,7,等额本息，每月还款,448,0.00,正在预审,11天00时25分,,0,156,huang5202588,HR,0,0,0,0,0,0,0,0,个人消费,男,21,未婚,高中,其他,没有,"本人黄林军借款目的做生意用的,暂时需要资金 现在做服装生意 会根据自身情况借款",额度小自己备用 大了做生意用,做生意 会根据自身情况借款
2014/03/03,13:46:54,460060,1,1,0,0,0,应收款安全标，谢谢支持,3899,8,6,等额本息，每月还款,665,100.00,借款成功,,2014/2/27,12,318,xiaojunname,E,36,1726,21,0,0,0,0,1,,,,,,,,应收款安全标，谢谢支持,应收款安全标，谢谢支持,应收款安全标，谢谢支持
2014/03/03,13:47:13,460061,0,0,0,0,0,天猫淘宝二次卖家，资金周转,197000,16,6,等额本息，每月还款,34382,100.00,借款成功,,2014/2/27,795,816,pzhzt,E,41,28,2,0,1,1,0,0,,,,,,,,,,
2014/03/03,13:47:17,460062,0,0,0,0,0,【实体经营】资金周转和引进新设备,3000,13,12,等额本息，每月还款,268,0.00,正在预审,11天00时25分,,0,84,19880409ok,HR,0,0,0,0,0,0,0,0,实体经营,男,26,已婚,中专,其他,没有,经营了3年还算可以想做的大点资金紧张,资金周转和引进新的设备,平均月收入6000左右
2014/03/03,13:47:21,460063,0,0,0,0,0,【实体经营】资金周转，新店开张,3000,13,7,等额本息，每月还款,448,0.00,正在预审,11天00时25分,,0,60,hejiangaliangyu,HR,20,20,0,0,0,0,0,1,实体经营,男,24,未婚,高中,与父母共住,没有,农村创业者，想靠自己打拼一次,说实话想借多点，我还差几万块，来这就是抱着试试的心态,就是我的店倒闭了，我有手艺，一个月也能挣几千块钱
2014/03/03,13:47:23,460064,1,1,0,0,0,安非7安非7安非7安非7安非7安非7,3000,8,6,等额本息，每月还款,512,100.00,借款成功,,2014/2/27,9,66,X___,E,31,611,7,1,1,0,1,1,,,,,,,,安非7安非7安非7安非7安非7安非7,安非7安非7安非7安非7安非7安非7安非7安非7,安非7安非7安非7安非7安非7安非7安非7安非7
2014/03/03,13:47:30,460065,0,0,0,0,0,【个人消费】刚开年上班，想换一台苹果电脑，为此想贷款，同时提高信用。,3000,13,7,等额本息，每月还款,448,0.00,正在预审,11天00时25分,,0,78,yangzhenglin,HR,0,0,0,0,0,0,0,0,个人消费,男,24,未婚,大专,租用,没有,我是四川人，来到浙江3年了，在现在公司已经上班1年半了。,开年来上班，想换台苹果电脑，出差方便，资金不够，为此想贷款。,目前在公司基本工资3000一月，加上奖金在3500左右，7个月还清3000绝对没有问题。自己每个月一定会开支的地方：房租200、电话费96、电费水费50、生活费800。
